,Power,Wheels_Size,Rear_Tyre_&_Rim,Displacement,Cylinders,Fuel_Tank_Capacity,Front_Tyre_&_Rim,Torque,Fuel_System,Maruti Suzuki,Honda,Tata,Jeep,Kia,Hyundai,Bmw,Ford,Maruti Suzuki R,Mahindra
553,123.0,205.0,205.0,1497.0,3.0,52.0,205.0,150.0,1.0,0,0,0,0,0,0,0,1,0,0
554,123.0,205.0,205.0,1497.0,3.0,52.0,205.0,150.0,1.0,0,0,0,0,0,0,0,1,0,0
555,100.0,195.0,195.0,1498.0,4.0,52.0,195.0,,1.0,0,0,0,0,0,0,0,1,0,0
556,100.0,195.0,195.0,1498.0,4.0,52.0,195.0,,1.0,0,0,0,0,0,0,0,1,0,0
557,100.0,205.0,205.0,1498.0,4.0,52.0,205.0,,1.0,0,0,0,0,0,0,0,1,0,0
558,100.0,205.0,205.0,1498.0,4.0,52.0,205.0,,1.0,0,0,0,0,0,0,0,1,0,0
559,123.0,205.0,205.0,1497.0,4.0,52.0,205.0,150.0,1.0,0,0,0,0,0,0,0,1,0,0
560,100.0,205.0,205.0,1498.0,3.0,52.0,205.0,,1.0,0,0,0,0,0,0,0,1,0,0
561,123.0,205.0,205.0,1497.0,4.0,52.0,205.0,150.0,1.0,0,0,0,0,0,0,0,1,0,0
562,100.0,205.0,205.0,1498.0,4.0,52.0,205.0,,1.0,0,0,0,0,0,0,0,1,0,0
585,,,,1197.0,,42.0,,200.0,1.0,0,0,0,0,0,0,0,0,0,1
587,,,,1197.0,,42.0,,200.0,1.0,0,0,0,0,0,0,0,0,0,1
588,,,,1197.0,,42.0,,200.0,1.0,0,0,0,0,0,0,0,0,0,1
590,,,,1497.0,,42.0,,300.0,1.0,0,0,0,0,0,0,0,0,0,1
591,,,,1497.0,,42.0,,300.0,1.0,0,0,0,0,0,0,0,0,0,1
592,,,,1497.0,,42.0,,300.0,1.0,0,0,0,0,0,0,0,0,0,1
593,,,,1497.0,,42.0,,300.0,1.0,0,0,0,0,0,0,0,0,0,1
594,,,,1497.0,,42.0,,300.0,1.0,0,0,0,0,0,0,0,0,0,1
595,,,,1497.0,4.0,42.0,,300.0,1.0,0,0,0,0,0,0,0,0,0,1
